scenario,round,pool,clients,operations,success,timeouts,elapsed_ms,throughput_ops_s,acquire_p95_ms,hold_mean_ms,backend_mean_ms,total_p50_ms,total_p95_ms
MODEL,1,2,24,288,288,0,367.347,784.00,28.543,2.524,2.515,30.608,31.100
H2_ROW_LOCK,1,2,24,288,288,0,753.276,382.33,258.003,5.199,2.601,5.213,263.274
MODEL,1,8,24,288,288,0,316.622,909.60,20.671,8.626,8.620,25.148,30.215
H2_ROW_LOCK,1,8,24,288,288,0,751.458,383.26,184.908,19.346,16.759,10.260,214.746
MODEL,1,16,24,288,288,0,1286.880,223.80,50.295,69.889,69.878,107.980,124.438
H2_ROW_LOCK,1,16,24,288,288,0,739.000,389.72,0.014,35.320,32.766,10.253,205.631
MODEL,1,4,24,288,288,0,180.641,1594.32,12.941,2.488,2.484,14.989,15.435
H2_ROW_LOCK,1,4,24,288,288,0,741.795,388.25,237.851,10.056,7.491,7.783,244.459
MODEL,1,1,24,288,288,0,722.556,398.59,58.479,2.495,2.490,60.048,60.997
H2_ROW_LOCK,1,1,24,288,288,0,750.891,383.54,268.011,2.597,0.043,2.607,270.586
MODEL,2,16,24,288,288,0,1280.061,224.99,47.617,69.609,69.602,108.728,119.922
H2_ROW_LOCK,2,16,24,288,288,0,731.921,393.49,0.021,33.693,31.165,7.724,309.887
MODEL,2,2,24,288,288,0,362.302,794.92,28.184,2.505,2.501,30.103,30.729
H2_ROW_LOCK,2,2,24,288,288,0,733.543,392.62,245.704,5.068,2.527,5.104,250.734
MODEL,2,1,24,288,288,0,724.949,397.27,58.676,2.507,2.503,60.359,61.187
H2_ROW_LOCK,2,1,24,288,288,0,735.260,391.70,279.893,2.547,0.021,2.550,282.412
MODEL,2,8,24,288,288,0,345.548,833.46,21.581,9.509,9.506,28.894,31.979
H2_ROW_LOCK,2,8,24,288,288,0,743.514,387.35,198.971,18.884,16.323,7.821,221.940
MODEL,2,4,24,288,288,0,181.203,1589.38,13.406,2.509,2.506,15.112,15.976
H2_ROW_LOCK,2,4,24,288,288,0,731.844,393.53,242.592,9.791,7.264,5.099,245.117
MODEL,3,16,24,288,288,0,1272.463,226.33,52.091,69.089,69.081,106.467,126.297
H2_ROW_LOCK,3,16,24,288,288,0,729.952,394.55,0.022,32.152,29.632,5.112,271.896
MODEL,3,1,24,288,288,0,722.620,398.55,58.385,2.498,2.492,60.259,60.832
H2_ROW_LOCK,3,1,24,288,288,0,733.243,392.78,273.722,2.537,0.036,2.572,276.339
MODEL,3,4,24,288,288,0,184.098,1564.39,15.478,2.546,2.542,15.208,18.106
H2_ROW_LOCK,3,4,24,288,288,0,734.469,392.12,213.501,9.894,7.361,7.631,246.506
MODEL,3,2,24,288,288,0,362.421,794.66,28.023,2.510,2.506,30.228,30.548
H2_ROW_LOCK,3,2,24,288,288,0,737.572,390.47,252.100,5.094,2.552,5.124,256.909
MODEL,3,8,24,288,288,0,345.254,834.17,21.706,9.440,9.437,28.575,32.313
H2_ROW_LOCK,3,8,24,288,288,0,734.515,392.10,182.592,18.932,16.399,7.852,237.589
